"Ptch_ID","site_id","site_name","connectivity","buffer","summaryMethod","selected"
1939,"W01","Bentley",0.0336434047248809,0,"mean","Selected"
2331,"W02","Frenchmoor",0.0583970791998163,0,"mean","Selected"
2226,"W03","Tytherley",0.0745152206503247,0,"mean","Selected"
2765,"W04","Odstock",0.0196022512944793,0,"mean","Selected"
2034,"W05","Hound Wood",0.0257630702307358,0,"mean","Selected"
2290,"W06","Farley copse",0.0214758416480423,0,"mean","Selected"
4209,"W07","Hither Daggons",0.155928167026214,0,"mean","Selected"
4210,"W08","Further Daggons",0.137119729111346,0,"mean","Selected"
4262,"W09","Castle Hill",0.0647884201973286,0,"mean","Selected"
3953,"W10","Wimborne",0.0171620942652225,0,"mean","Selected"
4341,"W11","Rough Copse",0.0696382919136533,0,"mean","Selected"
3222,"W12","Vernditch",0.0113081772286286,0,"mean","Selected"
3633,"W13","Martin Down",0.0924164116382599,0,"mean","Selected"
3311,"W14","Rushmore",0.0192559287486111,0,"mean","Selected"
3213,"W15","East Combe",0.060924074950775,0,"mean","Selected"
4893,"W16","Dibden",0.0585276186329509,0,"mean","Selected"
5035,"W17","Denny Lodge",0.0495917355150042,0,"mean","Selected"
5044,"W18","Vereley woods",0.056834218491904,0,"mean","Selected"
5229,"W19","Burley Rocks",0.0416390720444421,0,"mean","Selected"
5514,"W20","Thorney Hill",0.074210426147213,0,"mean","Selected"
5074,"W21","Foulford",0.125191958643586,0,"mean","Selected"
3147,"W22","NF_4 (Longcross)",0.0349486971450887,0,"mean","Selected"
3839,"W23","NF_3 (Island Thorns)",0.0271206786398028,0,"mean","Selected"
3894,"W24","Cadnam Commons",0.116851290894429,0,"mean","Selected"
4482,"W25","NF_1(Highland Water)",0.0250331343898734,0,"mean","Selected"
5193,"W26","Ferny Knap",0.0263003254510488,0,"mean","Selected"
4678,"W27","Longdown",0.163224195183388,0,"mean","Selected"
4850,"W28","Marchwood Inc",0.13627258064033,0,"mean","Selected"
4482,"W29","NF_2 (Hawkhill Inc)",0.0287089529383964,0,"mean","Selected"
5420,"W30","Hinchelsea",0.0175827925474896,0,"mean","Selected"
1939,"W01","Bentley",0.0336434047248809,0,"mean","Selected"
2331,"W02","Frenchmoor",0.0583970791998163,0,"mean","Selected"
2226,"W03","Tytherley",0.0745152206503247,0,"mean","Selected"
2765,"W04","Odstock",0.0196022512944793,0,"mean","Selected"
2034,"W05","Hound Wood",0.0257630702307358,0,"mean","Selected"
2290,"W06","Farley copse",0.0214758416480423,0,"mean","Selected"
4209,"W07","Hither Daggons",0.155928167026214,0,"mean","Selected"
4210,"W08","Further Daggons",0.137119729111346,0,"mean","Selected"
4262,"W09","Castle Hill",0.0647884201973286,0,"mean","Selected"
3953,"W10","Wimborne",0.0171620942652225,0,"mean","Selected"
4341,"W11","Rough Copse",0.0696382919136533,0,"mean","Selected"
3222,"W12","Vernditch",0.0113081772286286,0,"mean","Selected"
3633,"W13","Martin Down",0.0924164116382599,0,"mean","Selected"
3311,"W14","Rushmore",0.0192559287486111,0,"mean","Selected"
3213,"W15","East Combe",0.060924074950775,0,"mean","Selected"
4893,"W16","Dibden",0.0585276186329509,0,"mean","Selected"
5035,"W17","Denny Lodge",0.0495917355150042,0,"mean","Selected"
5044,"W18","Vereley woods",0.056834218491904,0,"mean","Selected"
5229,"W19","Burley Rocks",0.0416390720444421,0,"mean","Selected"
5514,"W20","Thorney Hill",0.074210426147213,0,"mean","Selected"
5074,"W21","Foulford",0.125191958643586,0,"mean","Selected"
3147,"W22","NF_4 (Longcross)",0.0349486971450887,0,"mean","Selected"
3839,"W23","NF_3 (Island Thorns)",0.0271206786398028,0,"mean","Selected"
3894,"W24","Cadnam Commons",0.116851290894429,0,"mean","Selected"
4482,"W25","NF_1(Highland Water)",0.0250331343898734,0,"mean","Selected"
5193,"W26","Ferny Knap",0.0263003254510488,0,"mean","Selected"
4678,"W27","Longdown",0.163224195183388,0,"mean","Selected"
4850,"W28","Marchwood Inc",0.13627258064033,0,"mean","Selected"
4482,"W29","NF_2 (Hawkhill Inc)",0.0287089529383964,0,"mean","Selected"
5420,"W30","Hinchelsea",0.0175827925474896,0,"mean","Selected"
1939,"W01","Bentley",0.0393579567850761,750,"mean","Selected"
2331,"W02","Frenchmoor",0.0630835995390366,750,"mean","Selected"
2226,"W03","Tytherley",0.0611261887474133,750,"mean","Selected"
2765,"W04","Odstock",0.0156245932146076,750,"mean","Selected"
2034,"W05","Hound Wood",0.0235253587549581,750,"mean","Selected"
2290,"W06","Farley copse",0.0157450887030185,750,"mean","Selected"
4209,"W07","Hither Daggons",0.124314854360841,750,"mean","Selected"
4210,"W08","Further Daggons",0.110062879424796,750,"mean","Selected"
4262,"W09","Castle Hill",0.0654379159512054,750,"mean","Selected"
3953,"W10","Wimborne",0.0165920832959801,750,"mean","Selected"
4341,"W11","Rough Copse",0.066321018983463,750,"mean","Selected"
3222,"W12","Vernditch",0.0110735778469832,750,"mean","Selected"
3633,"W13","Martin Down",0.0502831617979833,750,"mean","Selected"
3311,"W14","Rushmore",0.0158295185978883,750,"mean","Selected"
3213,"W15","East Combe",0.0338067895450615,750,"mean","Selected"
4893,"W16","Dibden",0.0436006735921228,750,"mean","Selected"
5035,"W17","Denny Lodge",0.0400177315601475,750,"mean","Selected"
5044,"W18","Vereley woods",0.0394053664257011,750,"mean","Selected"
5229,"W19","Burley Rocks",0.0307055284467582,750,"mean","Selected"
5514,"W20","Thorney Hill",0.0534263169123061,750,"mean","Selected"
5074,"W21","Foulford",0.0852175457628264,750,"mean","Selected"
3147,"W22","NF_4 (Longcross)",0.0340479244000288,750,"mean","Selected"
3839,"W23","NF_3 (Island Thorns)",0.035018866401751,750,"mean","Selected"
3894,"W24","Cadnam Commons",0.126591327776982,750,"mean","Selected"
4482,"W25","NF_1(Highland Water)",0.0306625043326284,750,"mean","Selected"
5193,"W26","Ferny Knap",0.0151871407744803,750,"mean","Selected"
4678,"W27","Longdown",0.0902440813508545,750,"mean","Selected"
4850,"W28","Marchwood Inc",0.0920586838077606,750,"mean","Selected"
4482,"W29","NF_2 (Hawkhill Inc)",0.0216226404897387,750,"mean","Selected"
5420,"W30","Hinchelsea",0.0176945299636868,750,"mean","Selected"
1939,"W01","Bentley",0.0393579567850761,750,"mean","Selected"
2331,"W02","Frenchmoor",0.0630835995390366,750,"mean","Selected"
2226,"W03","Tytherley",0.0611261887474133,750,"mean","Selected"
2765,"W04","Odstock",0.0156245932146076,750,"mean","Selected"
2034,"W05","Hound Wood",0.0235253587549581,750,"mean","Selected"
2290,"W06","Farley copse",0.0157450887030185,750,"mean","Selected"
4209,"W07","Hither Daggons",0.124314854360841,750,"mean","Selected"
4210,"W08","Further Daggons",0.110062879424796,750,"mean","Selected"
4262,"W09","Castle Hill",0.0654379159512054,750,"mean","Selected"
3953,"W10","Wimborne",0.0165920832959801,750,"mean","Selected"
4341,"W11","Rough Copse",0.066321018983463,750,"mean","Selected"
3222,"W12","Vernditch",0.0110735778469832,750,"mean","Selected"
3633,"W13","Martin Down",0.0502831617979833,750,"mean","Selected"
3311,"W14","Rushmore",0.0158295185978883,750,"mean","Selected"
3213,"W15","East Combe",0.0338067895450615,750,"mean","Selected"
4893,"W16","Dibden",0.0436006735921228,750,"mean","Selected"
5035,"W17","Denny Lodge",0.0400177315601475,750,"mean","Selected"
5044,"W18","Vereley woods",0.0394053664257011,750,"mean","Selected"
5229,"W19","Burley Rocks",0.0307055284467582,750,"mean","Selected"
5514,"W20","Thorney Hill",0.0534263169123061,750,"mean","Selected"
5074,"W21","Foulford",0.0852175457628264,750,"mean","Selected"
3147,"W22","NF_4 (Longcross)",0.0340479244000288,750,"mean","Selected"
3839,"W23","NF_3 (Island Thorns)",0.035018866401751,750,"mean","Selected"
3894,"W24","Cadnam Commons",0.126591327776982,750,"mean","Selected"
4482,"W25","NF_1(Highland Water)",0.0306625043326284,750,"mean","Selected"
5193,"W26","Ferny Knap",0.0151871407744803,750,"mean","Selected"
4678,"W27","Longdown",0.0902440813508545,750,"mean","Selected"
4850,"W28","Marchwood Inc",0.0920586838077606,750,"mean","Selected"
